epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2261.45,0.19186,0.384,0.8209,0.82409,0.97198,0.94174,0.941,0.13367,0.34217,0.75462,3.70788e-06,3.70788e-06,3.70788e-06
80,2290.46,0.19386,0.40112,0.82224,0.82021,0.97456,0.93951,0.93882,0.13321,0.34156,0.75442,3.4162e-06,3.4162e-06,3.4162e-06
81,2319.39,0.18983,0.37694,0.82001,0.82439,0.96769,0.93847,0.93779,0.13385,0.34622,0.75444,3.1361e-06,3.1361e-06,3.1361e-06
82,2348.21,0.19137,0.38575,0.82327,0.82826,0.97377,0.94129,0.94055,0.1335,0.34106,0.7545,2.86785e-06,2.86785e-06,2.86785e-06
83,2377.16,0.18947,0.37625,0.81846,0.82551,0.97638,0.94235,0.94173,0.13381,0.34016,0.75433,2.61173e-06,2.61173e-06,2.61173e-06
84,2406.64,0.18687,0.38951,0.82179,0.83428,0.96981,0.94185,0.94127,0.13367,0.33598,0.75446,2.36798e-06,2.36798e-06,2.36798e-06
85,2435.59,0.18665,0.38923,0.81721,0.82439,0.97099,0.94147,0.94084,0.13316,0.33566,0.75459,2.13685e-06,2.13685e-06,2.13685e-06
86,2464.69,0.18888,0.38203,0.82028,0.82594,0.97264,0.94152,0.94088,0.13258,0.33525,0.75461,1.91855e-06,1.91855e-06,1.91855e-06
87,2493.57,0.18464,0.38154,0.82174,0.83126,0.9667,0.93989,0.9392,0.13413,0.33422,0.75463,1.71332e-06,1.71332e-06,1.71332e-06
88,2522.36,0.18444,0.37775,0.81552,0.83004,0.96308,0.93981,0.93915,0.13377,0.33531,0.7544,1.52134e-06,1.52134e-06,1.52134e-06
89,2551.3,0.1848,0.36891,0.82067,0.8345,0.96771,0.94116,0.94046,0.13325,0.33406,0.75431,1.34282e-06,1.34282e-06,1.34282e-06
90,2579.97,0.1838,0.36573,0.81949,0.83309,0.96852,0.94244,0.94179,0.13312,0.33346,0.75422,1.17792e-06,1.17792e-06,1.17792e-06
91,2639.76,0.14576,0.34032,0.78504,0.81776,0.97828,0.93807,0.93732,0.13552,0.34132,0.75418,1.02681e-06,1.02681e-06,1.02681e-06
92,2667.95,0.14664,0.34132,0.78634,0.82351,0.97541,0.93872,0.938,0.13564,0.33896,0.75417,8.89639e-07,8.89639e-07,8.89639e-07
93,2696.02,0.14417,0.33559,0.78293,0.83193,0.96339,0.94015,0.93948,0.13305,0.33633,0.75368,7.6654e-07,7.6654e-07,7.6654e-07
94,2724.54,0.14425,0.33957,0.7819,0.83097,0.96587,0.94041,0.93969,0.13425,0.33539,0.7538,6.57636e-07,6.57636e-07,6.57636e-07
95,2752.69,0.1431,0.33303,0.78248,0.83244,0.96501,0.94094,0.94027,0.13316,0.33511,0.75361,5.63034e-07,5.63034e-07,5.63034e-07
96,2780.99,0.14323,0.33239,0.78228,0.83009,0.96792,0.94104,0.94039,0.13269,0.33484,0.75354,4.82828e-07,4.82828e-07,4.82828e-07
97,2809.24,0.14216,0.33081,0.7782,0.83244,0.9651,0.94144,0.94084,0.13288,0.33451,0.75345,4.17097e-07,4.17097e-07,4.17097e-07
98,2837.07,0.14171,0.33093,0.78407,0.833,0.96317,0.94011,0.93949,0.13277,0.33318,0.75347,3.65905e-07,3.65905e-07,3.65905e-07
99,2865.84,0.14103,0.33026,0.78163,0.83505,0.96188,0.94106,0.9404,0.13236,0.33274,0.75336,3.29303e-07,3.29303e-07,3.29303e-07
100,2894.56,0.14064,0.33307,0.77895,0.83533,0.96204,0.94133,0.94068,0.13233,0.33224,0.75324,3.07328e-07,3.07328e-07,3.07328e-07
